"cuenta";"descripcion";"cuentaesp"
1710000000;"Deutes a llarg termini per reemborsament d'aportacions als socis";
1711000000;"Creditors per Fons de Reserva Obligatori a llarg termini";
1712000000;"Creditors per Fons de Reemborsament o Actualització a llarg termini";
1713000000;"Creditors per Fons de Reserva Voluntari a llarg termini";
1714000000;"Creditors per fons capitalitzats a llarg termini";
1715000000;"Retorn cooperatiu i remuneració discrecional a pagar segons llarg termini";
1720000000;"Deutes a llarg termini transformables en subvencions, donacions i llegats";
1730000000;"Proveïdors d'immobilitzat a llarg termini";
1740000000;"Creditors per arrendament financer a llarg termini";
1750000000;"Efectes a pagar a llarg termini";
1765000000;"Passius per derivats financers a llarg termini, cartera de negociació";
1768000000;"Passius per derivats financers a llarg termini, instruments de cobertura";
1770000000;"Obligacions i bons";
1780000000;"Obligacions i bons convertibles";
1790000000;"Deutes representats en altres valors negociables";
1800000000;"Fiances rebudes a llarg termini";
1810000000;"Bestretes rebudes per vendes o prestacions de serveis a llarg termini";
1850000000;"Dipòsits rebuts a llarg termini";
1890000000;"Garanties financeres a llarg termini";
1900000000;"Participacions socials emeses";
1920000000;"Subscriptors de particpaciones socials";
1940000000;"Capital emès pendent d'inscripció";
1950000000;"Participacions emeses considerades passius financers";
1970000000;"Subscriptors d'accions considerades com a passius financers";
1990000000;"Participacions emeses considerades passius financers pendents d'inscripció";
2000000000;"Recerca";
2010000000;"desenvolupament";
2020000000;"concessions administratives";
2030000000;"propietat industrial";
2040000000;"Fons de comerç";
2050000000;"Drets de traspàs";
2060000000;"aplicacions informàtiques";
2090000000;"Avançaments per a immobilitzacions intangibles";
2100000000;"Terrenys i béns naturals";
2110000000;"construccions";
2120000000;"instal·lacions tècniques";
2130000000;"maquinària";
2140000000;"utillatge";
2150000000;"altres instal·lacions";
2160000000;"mobiliari";
2170000000;"Equips per a processos d'informació";
2180000000;"Elements de transport";
2190000000;"Un altre immobilitzat material";
2200000000;"Inversions en terrenys i béns naturals";
2210000000;"Inversions en construccions";
2300000000;"Adaptació de terrenys i béns naturals";
2310000000;"Construccions en curs";
2320000000;"Instal·lacions tècniques en muntatge";
2330000000;"Maquinària en muntatge";
2370000000;"Equips per a processos d'informació en muntatge";
2390000000;"Avançaments per a immobilitzacions materials";
2403000000;"Participacions a llarg termini en empreses de el grup";
2404000000;"Participacions a llarg termini en empreses associades";
2405000000;"Participacions a llarg termini en altres parts vinculades";
2413000000;"Valors representatius de deute a llarg termini d'empreses de el grup";
2414000000;"Valors representatius de deute a llarg termini d'empreses associades";
2415000000;"Valors representatius de deute a llarg termini d'altres parts vinculades";
2423000000;"Crèdits a llarg termini a empreses de el grup";
2424000000;"Crèdits a llarg termini a empreses associades";
2425000000;"Crèdits a llarg termini a altres parts vinculades";
2493000000;"Desemborsaments pendents sobre participacions a llarg termini en empreses de el grup";
2494000000;"Desemborsaments pendents sobre participacions a llarg termini en empreses associades";
2495000000;"Desemborsaments pendents sobre participacions a llarg termini en altres parts vinculades";
2500000000;"Inversions financeres a llarg termini en instruments de patrimoni";
2510000000;"Valors representatius de deute a llarg termini";
2520000000;"Crèdits a llarg termini amb tercers";
2527000000;"Crèdits a llarg termini amb socis per pèrdues a compensar";
2530000000;"Crèdits a llarg termini per alienació d'immobilitzat";
2540000000;"Crèdits a llarg termini a el personal";
2550000000;"Actius per derivats financers a llarg termini, cartera de negociació";
2553000000;"Actius per derivats financers a llarg termini, instruments de cobertura";
2570000000;"Drets de reemborsament derivats de contractes d'assegurança relatius a retribucions a llarg termini a el personal";
2580000000;"Imposicions a llarg termini";
2590000000;"Desemborsaments pendents sobre participacions en el patrimoni net a llarg termini";
2600000000;"Fiances constituïdes a llarg termini";
2650000000;"Dipòsits constituïts a llarg termini";
2800000000;"Amortització acumulada d'investigació";
2801000000;"Amortització acumulada de desenvolupament";
2802000000;"Amortització acumulada de concessions administratives";
2803000000;"Amortització acumulada de propietat industrial";
2805000000;"Amortització acumulada de drets de traspàs";
2806000000;"Amortització acumulada d'aplicacions informàtiques";
2811000000;"Amortització acumulada de construccions";
2812000000;"Amortització acumulada d'instal·lacions tècniques";
2813000000;"Amortització acumulada de maquinària";
2814000000;"Amortització acumulada d'utillatge";
2815000000;"Amortització acumulada d'altres instal·lacions";
2816000000;"Amortització acumulada de mobiliari";
2817000000;"Amortització acumulada d'equips per a processos d'informació";
2818000000;"Amortització acumulada d'elements de transport";
2819000000;"Amortització acumulada d'un altre immobilitzat material";
2820000000;"Amortització acumulada de les inversions immobiliàries";
2900000000;"Deteriorament de valor d'investigació";
2901000000;"Deteriorament de valor de desenvolupament";
2902000000;"Deteriorament de valor de concessions administratives";
2903000000;"Deteriorament de valor de propietat industrial";
2905000000;"Deteriorament de valor de drets de traspàs";
2906000000;"Deteriorament de valor d'aplicacions informàtiques";
2910000000;"Deteriorament de valor de terrenys i béns naturals";
2911000000;"Deteriorament de valor de construccions";
2912000000;"Deteriorament de valor d'instal·lacions tècniques";
2913000000;"Deteriorament de valor de maquinària";
2914000000;"Deteriorament de valor d'utillatge";
2915000000;"Deteriorament de valor d'altres instal·lacions";
2916000000;"Deteriorament de valor de mobiliari";
2917000000;"Deteriorament de valor d'equips per a processos d'informació";
2918000000;"Deteriorament de valor d'elements de transport";
2919000000;"Deteriorament de valor d'un altre immobilitzat material";
2920000000;"Deteriorament de valor dels terrenys i béns naturals";
2921000000;"Deteriorament de valor de construccions";
2933000000;"Deteriorament de valor de participacions a llarg termini en empreses de el grup";
2934000000;"Deteriorament de valor de participacions a llarg termini en empreses associades";
2935000000;"Deteriorament de valor participacions a llarg termini en altres parts vinculades";
2943000000;"Deteriorament de valor de valors representatius de deute a llarg termini d'empreses de el grup";
2944000000;"Deteriorament de valor de valors representatius de deute a llarg termini d'empreses associades";
2945000000;"Deteriorament de valor de valors representatius de deute a llarg termini d'altres parts vinculades";
2953000000;"Deteriorament de valor de crèdits a llarg termini a empreses de el grup";
2954000000;"Deteriorament de valor de crèdits a llarg termini a empreses associades";
2955000000;"Deteriorament de valor de crèdits a llarg termini a altres parts vinculades";
2960000000;"Deteriorament de valor de participacions en el patrimoni net a llarg termini";
2970000000;"Deteriorament de valor de valors representatius de deute a llarg termini";
2980000000;"Deteriorament de valor de crèdits a llarg termini";
3000000000;"mercaderies A";
3010000000;"mercaderies B";
3070000000;"Mercaderies adquirides a socis";
3100000000;"Matèries primeres A";
3110000000;"Matèries primeres B";
3170000000;"Matèries primeres adquirides a socis";
3200000000;"Elements i conjunts incorporables";
3210000000;"combustibles";
3220000000;"recanvis";
3250000000;"materials diversos";
3260000000;"embalatges";
3270000000;"Envasos";
3280000000;"Material d'oficina";
3300000000;"Productes en curs A";
3310000000;"Productes en curs B";
3400000000;"Productes semiacabats A";
3410000000;"Productes semiacabats B";
3500000000;"Productes acabats A";
3510000000;"Productes acabats B";
3600000000;"subproductes A";
3610000000;"subproductes B";
3650000000;"residus A";
3660000000;"residus B";
3680000000;"Materials recuperats A";
3690000000;"Materials recuperats B";
3900000000;"Deteriorament de valor de les mercaderies";
3910000000;"Deteriorament de valor de les matèries primeres";
3920000000;"Deteriorament de valor d'altres aprovi sionamientos";
3930000000;"Deteriorament de valor dels productes en curs";
3940000000;"Deteriorament de valor dels productes semiacabats";
3950000000;"Deteriorament de valor dels productes acabats";
3960000000;"Deteriorament de valor dels subproductes, residus i materials recuperats";
4000000000;"Proveïdors (euros)";
4004000000;"Proveïdors (moneda estrangera)";
4007000000;"Proveïdors, socis cooperatius";
4009000000;"Proveïdors, factures pendents de rebre o de formalitzar";
4010000000;"Proveïdors, efectes comercials a pagar";
4030000000;"Proveïdors, empreses de el grup (euros)";
4031000000;"Efectes comercials a pagar, empreses de el grup";
4034000000;"Proveïdors, empreses de el grup (moneda estrangera)";
4036000000;"Envasos i embalatges a retornar a proveïdors, empreses de el grup";
4039000000;"Proveïdors, empreses de el grup, factures pendents de rebre o de formalitzar";
4040000000;"Proveïdors, empreses associades";
4050000000;"Proveïdors, altres parts vinculades";
4060000000;"Envasos i embalatges a retornar a proveïdors";
4070000000;"Bestretes a proveïdors";
4100000000;"Creditors per prestacions de serveis (euros)";
4104000000;"Creditors per prestacions de serveis, (moneda estrangera)";
4109000000;"Creditors per prestacions de serveis, factures pendents de rebre o de formalitzar";
4110000000;"Creditors, efectes comercials a pagar";
4190000000;"Creditors per operacions en comú";
4300000000;"Clients (euros)";
4304000000;"Clients (moneda estrangera)";
4309000000;"Clients, factures pendents de formalitzar";
4310000000;"Efectes comercials en cartera";
4311000000;"Efectes comercials descomptats";
4312000000;"Efectes comercials en gestió de cobrament";
4315000000;"Efectes comercials impagats";
4320000000;"Clients, operacions de ""factoring""";
4330000000;"Clients empreses de el grup (euros)";
4331000000;"Efectes comercials a cobrar, empreses de el grup";
4332000000;"Clients empreses de el grup, operacions de ""factoring""";
4334000000;"Clients empreses de el grup (moneda estrangera)";
4336000000;"Clients empreses del grup de dubtós cobrament";
4337000000;"Envasos i embalatges a retornar a clients, empreses de el grup";
4339000000;"Clients empreses de el grup, factures pendents de formalitzar";
4340000000;"Clients, empreses associades";
4350000000;"Clients, altres parts vinculades";
4360000000;"Clients de dubtós cobrament";
4370000000;"Envasos i embalatges a retornar per clients";
4380000000;"Bestretes de clients";
4400000000;"Deutors (euros)";
4404000000;"Deutors (moneda estrangera)";
4409000000;"Deutors, factures pendents de formalitzar";
4410000000;"Deutors, efectes comercials en cartera";
4411000000;"Deutors, efectes comercials descomptats";
4412000000;"Deutors, efectes comercials en gestió de cobrament";
4415000000;"Deutors, efectes comercials impagats";
4460000000;"Deutors de dubtós cobrament";
4470000000;"Socis deutors: crèdits per operacions efectuades amb socis";
4490000000;"Deutors per operacions en comú";
4600000000;"Bestretes de remuneracions";
4650000000;"Remuneracions pendents de pagament";
4651000000;"Bestretes laborals pendents de pagament";
4660000000;"Remuneracions mitjançant sistemes d'aportació definida pendents de pagament";
4700000000;"Hisenda pública, deutora per IVA";
4708000000;"Hisenda pública, deutora per subvencions concedides";
4709000000;"Hisenda pública, deutora per devolució d'impostos";
4710000000;"Organismes de la Seguretat Social, deutors";
4720000000;"Hisenda pública, IVA suportat";
4730000000;"Hisenda Pública, retencions i pagaments a compte";
4740000000;"Actius per diferències temporànies deduïbles";
4742000000;"Drets per deduccions i bonificacions pendents d'aplicar";
4745000000;"Crèdit per pèrdues a compensar d'l'exercici";
4750000000;"Hisenda pública, creditora per IVA";
4751000000;"Hisenda pública, creditora per retencions practicades";
4752000000;"Hisenda pública, creditora per impost sobre societats";
4758000000;"Hisenda pública, creditora per subvencions a reintegrar";
4760000000;"Organismes de la Seguretat Social, creditors";
4770000000;"Hisenda pública, IVA repercutit";
4790000000;"Passius per diferències temporànies imposables";
4800000000;"despeses anticipades";
4850000000;"ingressos anticipats";
4900000000;"Deteriorament de valor de crèdits per operacions comercials";
4933000000;"Deteriorament de valor de crèdits per operacions comercials amb empreses de el grup";
4934000000;"Deteriorament de valor de crèdits per operacions comercials amb empreses associades";
4935000000;"Deteriorament de valor de crèdits per operacions comercials amb altres parts vinculades";
4940000000;"Deteriorament de valor de crèdits per operacions amb socis deutors";
4994000000;"Provisió per contractes onerosos";
4999000000;"Provisió per a altres operacionescomerciales";
5000000000;"Obligacions i bons a curt termini";
5010000000;"Obligacions i bons convertibles a curt termini";
5020000000;"Capital social cooperatiu amb caracterísitiques de deute a curt termini";
5050000000;"Deutes representats en altres valors negociables a curt termini";
5060000000;"Interessos a curt termini d'emprèstits i altres emissions anàlogues";
5070000000;"Dividends d'accions o participacions considerades com a passius financers";
5080000000;"Fons d'educació i promoció cooperatives, saldo disposat a curt termini";
5080000000;"Fons d'educació i promoció cooperatives, saldo no disposat a curt termini";
5090000000;"Obligacions i bons amortitzats";
5091000000;"Obligacions i bons convertibles amortitzats";
5095000000;"Altres valors negociables amortitzats";
5103000000;"Deutes a curt termini amb entitats de crèdit, empreses de el grup";
5104000000;"Deutes a curt termini amb entitats de crèdit, empreses associades";
5105000000;"Deutes a curt termini amb altres entitats de crèdit vinculades";
5113000000;"Proveïdors d'immobilitzat a curt termini, empreses de el grup";
5114000000;"Proveïdors d'immobilitzat a curt termini, empreses associades";
5115000000;"Proveïdors d'immobilitzat a curt termini, altres parts vinculades";
5123000000;"Creditors per arrendament financer a curt termini, empreses de el grup";
5124000000;"Creditors per arrendament financer a curt termini, empreses associades";
5125000000;"Creditors per arrendament financer a curt termini, altres parts vinculades";
5133000000;"D'altres deutes a curt termini amb empreses de el grup";
5134000000;"D'altres deutes a curt termini amb empreses associades";
5135000000;"D'altres deutes a curt termini amb altres parts vinculades";
5143000000;"Interessos a curt termini de deutes, empreses de el grup";
5144000000;"Interessos a curt termini de deutes, empreses associades";
5145000000;"Interessos a curt termini de deutes, altres parts vinculades";
5200000000;"Préstecs a curt termini d'entitats de crèdit";
5201000000;"Deutes a curt termini per crèdit disposat";
5208000000;"Deutes per efectes descomptats";
5209000000;"Deutes per operacions de ""factoring""";
5210000000;"Deutes a curt termini per reemborsament d'aportacions als socis.";
5211000000;"Creditors per fons de reserva obligatori a curt termini";
5212000000;"Creditors per fons de reemborsament o actualització a curt termini";
5213000000;"Creditors per fons de reserva voluntari a curt termini";
5214000000;"Creditors per fons capitalitzats a curt termini";
5220000000;"Deutes a curt termini transformables en subvencions, donacions i llegats";
5230000000;"Proveïdors d'immobilitzat a curt termini";
5240000000;"Creditors per arrendament financer a curt termini";
5250000000;"Efectes a pagar a curt termini";
5260000000;"Retorn cooperatiu i renumeració discrecional a pagar a curt termini";
5270000000;"Interessos a curt termini de deutes amb entitats de crèdit";
5280000000;"Interessos a curt termini de deutes";
5281000000;"Interessos a curt termini de deutes amb socis";
5290000000;"Provisió a curt termini per retribucions a personal";
5291000000;"Provisió a curt termini per a impostos";
5292000000;"Provisió a curt termini per a altres responsabilitats";
5293000000;"Provisió a curt termini per desmantellament, retirada o rehabilitació de l'immobilitzat";
5295000000;"Provisió a curt termini per a actuacions mediambientals";
5296000000;"Provisió a curt termini per reestructuracions";
5297000000;"Provisió a curt termini per transaccions amb pagaments basats en instruments de patrimoni";
5298000000;"Fons d'educacio, formacio i promocio, saldo disposat a curt termini";
5298100000;"Fons d'educacio, formacio i promocio, saldo no disposat a curt termini";
5303000000;"Participacions a curt termini, en empreses de el grup";
5304000000;"Participacions a curt termini, en empreses associades";
5305000000;"Participacions a curt termini, en altres parts vinculades";
5313000000;"Valors representatius de deute a curt termini d'empreses de el grup";
5314000000;"Valors representatius de deute a curt termini d'empreses associades";
5315000000;"Valors representatius de deute a curt termini d'altres parts vinculades";
5323000000;"Crèdits a curt termini a empreses de el grup";
5324000000;"Crèdits a curt termini a empreses associades";
5325000000;"Crèdits a curt termini a altres parts vinculades";
5333000000;"Interessos a curt termini de valors representatius de deute d'empreses de el grup";
5334000000;"Interessos a curt termini de valors representatius de deute d'empreses associades";
5335000000;"Interessos a curt termini de valors representatius de deute d'altres parts vinculades";
5343000000;"Interessos a curt termini de crèdits a empreses de el grup";
5344000000;"Interessos a curt termini de crèdits a empreses associades";
5345000000;"Interessos a curt termini de crèdits a altres parts vinculades";
5353000000;"Dividend a cobrar d'empreses de grup";
5354000000;"Dividend a cobrar d'empreses associades";
5355000000;"Dividend a cobrar d'altres parts vinculades";
5393000000;"Desemborsaments pendents sobre participacions a curt termini en empreses de el grup";
5394000000;"Desemborsaments pendents sobre participacions a curt termini en empreses associades";
5395000000;"Desemborsaments pendents sobre participacions a curt termini en altres parts vinculades";
5400000000;"Inversions financeres a curt termini en instruments d'patrimoni";
5410000000;"Valors representatius de deute a curt termini";
5420000000;"Crèdits a curt termini";
5427000000;"Crèdits amb socis per pèrdues a compensar a curt termini";
5430000000;"Crèdits a curt termini per alienació d'immobilitzat";
5440000000;"Crèdits a curt termini a el personal";
5450000000;"Dividend a cobrar";
5460000000;"Interessos a curt termini de valors representatius de deutes";
5470000000;"Interessos a curt termini de crèdits";
5476000000;"Interessos a curt termini de deutes amb socis";
5480000000;"Imposicions a curt termini";
5490000000;"Desemborsaments pendents sobre participacions en el patrimoni net a curt termini";
5500000000;"Titular de l'explotació";
5510000000;"Compte corrent amb socis i administradors";
5523000000;"Compte corrent amb empreses de el grup";
5524000000;"Compte corrent amb empreses associades";
5525000000;"Compte corrent amb altres parts vinculades";
5530000000;"Socis de societat dissolta";
5531000000;"Socis, compte de fusió";
5532000000;"Socis de societat escindida";
5533000000;"Socis, compte d'escissió";
5540000000;"Compte corrent amb unions temporals d'empreses i comunitats de béns";
5550000000;"Partides pendents d'aplicació";
5563000000;"Desemborsaments exigits sobre participacions, empreses de el grup";
5564000000;"Desemborsaments exigits sobre participacions, empreses associades";
5565000000;"Desemborsaments exigits sobre participacions, altres parts vinculades";
5566000000;"Desemborsaments exigits sobre participacions d'altres empreses";
5570000000;"Dividend actiu a compte";
5571000000;"Remuneracions d'aportacions a el capital social a compte";
5572000000;"Retorn actiu a compte";
5580000000;"Socis per desemborsaments exigits sobre accions o participacions ordinàries";
5585000000;"Desemborsaments exigits sobre capital social cooperatiu considerats com a passiu financer";
5590000000;"Actius per derivats financers a curt termini, cartera de negociació";
5593000000;"Actius per derivats financers a curt termini, instruments de cobertura";
5595000000;"Passius per derivats financers a curt termini, cartera de negociació";
5598000000;"Passius per derivats financers a curt termini, instruments de cobertura";
5600000000;"Fiances rebudes a curt termini";
5610000000;"Dipòsits rebuts a curt termini";
5650000000;"Fiances constituïdes a curt termini";
5660000000;"Dipòsits constituïts a curt termini";
5670000000;"Interessos pagats per anticipat";
5680000000;"Interessos cobrats per anticipat";
5690000000;"Garanties financeres a curt termini";
5700000000;"Caixa, euros";
5710000000;"Caixa, moneda estrangera";
5720000000;"Bancs i institucions de crèdit c / c vista, euros";
5730000000;"Bancs i institucions de crèdit c / c vista, moneda estrangera";
5740000000;"Bancs i institucions de crèdit, comptes d'estalvi, euros";
5750000000;"Bancs i institucions de crèdit, comptes d'estalvi, moneda estrangera";
5760000000;"Inversions a curt termini de gran liquiditat";
5800000000;"Immobilitzat";
5810000000;"Inversions amb persones i entitats vinculades";
5820000000;"inversions financeres";
5830000000;"Existències, deutors comercials i altres comptes a cobrar";
5840000000;"altres actius";
5850000000;"provisions";
5860000000;"Deutes amb característiques especials";
5870000000;"Deutes amb persones i entitats vinculades";
5880000000;"Creditors comercials i altres comptes a pagar";
5890000000;"altres passius";
5933000000;"Deteriorament de valor de participacions a curt termini en empreses de el grup";
5934000000;"Deteriorament de valor de participacions a curt termini en empreses associades";
5935000000;"Deteriorament de valor de les participacions a curt termini en altres part vinculades";
5943000000;"Deteriorament de valor de valors representatius de deute a curt termini d'empreses de el grup";
5944000000;"Deteriorament de valor de valors representatius de deute a curt termini d'empreses associades";
5945000000;"Deteriorament de valor de valors representatius de deute a curt termini d'altres parts vinculades";
5953000000;"Deteriorament de valor de crèdits a curt termini a empreses de el grup";
5954000000;"Deteriorament de valor de crèdits a curt termini a empreses associades";
5955000000;"Deteriorament de valor de crèdits a curt termini a altres parts vinculades";
5960000000;"Deteriorament de valor de participacions a curt termini";
5970000000;"Deteriorament de valor de valors representatius de deute a curt termini";
5980000000;"Deteriorament de valor de crèdits a curt termini";
5990000000;"Deteriorament de valor d'immobilitzat no corrent mantingut per a la venda";
5991000000;"Deteriorament de valor d'inversions amb persones i entitats vinculades no corrents mantinguts per a la venda";
5992000000;"Deteriorament de valor d'inversions financeres no corrents mantinguts per a la venda";
5993000000;"Deteriorament de valor d'existències, deutors comercials i altres comptes a cobrar integrats en un grup alienable mantingut per a la venda";
5994000000;"Deteriorament de valor d'altres actius mantinguts per a la venda";
6000000000;"Compres de mercaderies";
6010000000;"Compres de matèries primeres";
6020000000;"Compres d'altres aprovisionaments";
6050000000;"Compres efectuats a socis";
6060000000;"Descomptes sobre compres per pagament de mercaderies";
6061000000;"Descomptes sobre compres per pagament de matèries primeres";
6062000000;"Descomptes sobre compres per pagament d'altres aprovisionaments";
6063000000;"Descomptes sobre compres per pagament a socis";
6070000000;"Treballs realitzats per altres empreses";
6080000000;"Devolucions de compres de mercaderies";
6081000000;"Devolucions de compres de matèries primeres";
6082000000;"Devolucions de compres d'altres aprovisionaments";
6083000000;"Devolucions de compres a socis";
6090000000;"""Rappels"" per compres de mercaderies";
6091000000;"""Rappels"" per compres de matèries primeres";
6092000000;"""Rappels"" per compres d'altres aprovisionaments";
6093000000;"""Rappels"" per compres efectuades a socis";
6100000000;"Variació d'existències de mercaderies";
6110000000;"Variació d'existències de matèries primeres";
6120000000;"Variació d'existències d'altres aprovisionaments";
6170000000;"Variació d'existències adquirides a socis";
6200000000;"Despeses en recerca i desenvolupament de l'exercici";
6210000000;"Arrendaments i cànons";
6220000000;"Reparacions i conservació";
6230000000;"Serveis de professionals independents";
6240000000;"Transports";
6250000000;"Primes d'assegurances";
6260000000;"Serveis bancaris i similars";
6270000000;"Publicitat, propaganda i relacions públiques";
6280000000;"subministraments";
6290000000;"altres serveis";
6300000000;"Impost corrent";
6301000000;"Impost diferit";
6310000000;"altres tributs";
6330000000;"Ajustaments negatius en la imposició sobre beneficis";
6341000000;"Ajustaments negatius en IVA d'actiu corrent";
6342000000;"Ajustaments negatius en IVA d'inversions";
6360000000;"Devolució d'impostos";
6380000000;"Ajustaments positius en la imposició sobre beneficis";
6391000000;"Ajustaments positius en IVA d'actiu corrent";
6392000000;"Ajustaments positius en IVA d'inversions";
6400000000;"Sous i salaris";
6410000000;"indemnitzacions";
6420000000;"Seguretat Social a càrrec de l'empresa";
6430000000;"Retribucions a llarg termini mitjançant sistemes d'aportació definida";
6440000000;"Contribucions anuals";
6442000000;"altres costos";
6450000000;"Retribucions a personal liquidats amb instruments de patrimoni";
6457000000;"Retribucions a personal liquidats en efectiu basat en instruments d'patrimoni";
6470000000;"Retribucion als socis treballadors";
6490000000;"Altres despeses socials";
6500000000;"Pèrdues de crèdits comercials incobrables";
6510000000;"Benefici transferit (gestor)";
6511000000;"Pèrdua suportada (partícip o associat no gestor)";
6560000000;"Interessos de les aportacions a el capital social i altres fons";
6570000000;"Dotacion a el fons d'educacio, formacio i promocio (FEFP)";
6590000000;"Altres pèrdues en gestió corrent";
6600000000;"Despeses financeres per actualització de provisions";
6610000000;"Interessos d'obligacions i bons a llarg termini, empreses de el grup";
6611000000;"Interessos d'obligacions i bons a llarg termini, empreses associades";
6612000000;"Interessos d'obligacions i bons a llarg termini, altres parts vinculades";
6613000000;"Interessos d'obligacions i bons a llarg termini, altres empreses";
6615000000;"Interessos d'obligacions i bons a curt termini, empreses de el grup";
6616000000;"Interessos d'obligacions i bons a curt termini, empreses associades";
6617000000;"Interessos d'obligacions i bons a curt termini, altres parts vinculades";
6618000000;"Interessos d'obligacions i bons a curt termini, altres empreses";
6620000000;"Interessos de deutes, empreses de el grup";
6621000000;"Interessos de deutes, empreses associades";
6622000000;"Interessos de deutes, altres parts vinculades";
6623000000;"Interessos de deutes amb entitats de crèdit";
6624000000;"Interessos de deutes, altres empreses";
6630000000;"Pèrdues de cartera de negociació";
6631000000;"Pèrdues de designats per l'empresa";
6632000000;"Pèrdues de disponibles per a la venda";
6633000000;"Pèrdues d'instruments de cobertura";
6640000000;"Dividends de passius, empreses de el grup";
6641000000;"Dividends de passius, empreses associades";
6642000000;"Dividends de passius, altres parts vinculades";
6643000000;"Dividends de passius, altres empreses";
6647000000;"Interessos i retorn obligatori de les aportacions a capital cooperatiu i d'altres fons qualificats com característiques de deute";
6650000000;"Interessos per descompte d'efectes en entitats de crèdit de el grup";
6651000000;"Interessos per descompte d'efectes en entitats de crèdit associades";
6652000000;"Interessos per descompte d'efectes en altres entitats de crèdit vinculades";
6653000000;"Interessos per descompte d'efectes en altres entitats de crèdit";
6654000000;"Interessos per operacions de ""factoring"" amb entitats de crèdit de el grup";
6655000000;"Interessos per operacions de ""factoring"" amb entitats de crèdit associades";
6656000000;"Interessos per operacions de ""factoring"" amb altres entitats de crèdit vinculades";
6657000000;"Interessos per operacions de ""factoring"" amb altres entitats de crèdit";
6660000000;"Pèrdues en valors representatius de deute a llarg termini, empreses de el grup";
6661000000;"Pèrdues en valors representatius de deute a llarg termini, empreses associades";
6662000000;"Pèrdues en valors representatius de deute a llarg termini, altres parts vinculades";
6663000000;"Pèrdues en participacions i valors representatius de deute a llarg termini, altres empreses";
6665000000;"Pèrdues en participacions i valors representatius de deute a curt termini, empreses de el grup";
6666000000;"Pèrdues en participacions i valors representatius de deute a curt termini, empreses associades";
6667000000;"Pèrdues en valors representatius de deute a curt termini, altres parts vinculades";
6668000000;"Pèrdues en valors representatius de deute a curt termini, altres empreses";
6670000000;"Pèrdues de crèdits a llarg termini, empreses de el grup";
6671000000;"Pèrdues de crèdits a llarg termini, empreses associades";
6672000000;"Pèrdues de crèdits a llarg termini, altres parts vinculades";
6673000000;"Pèrdues de crèdits a llarg termini, altres empreses";
6675000000;"Pèrdues de crèdits a curt termini, empreses de el grup";
6676000000;"Pèrdues de crèdits a curt termini, empreses associades";
6677000000;"Pèrdues de crèdits a curt termini, altres parts vinculades";
6678000000;"Pèrdues de crèdits a curt termini, altres empreses";
6680000000;"Diferències negatives de canvi";
6690000000;"Altres despeses financeres";
6700000000;"Pèrdues procedents de l'immobilitzat intangible";
6710000000;"Pèrdues procedents de l'immobilitzat material";
6720000000;"Pèrdues procedents de les inversions immobiliàries";
6733000000;"Pèrdues procedents de participacions a llarg termini, empreses de el grup";
6734000000;"Pèrdues procedents de participacions a llarg termini, empreses associades";
6735000000;"Pèrdues procedents de participacions a llarg termini, altres parts vinculades";
6750000000;"Pèrdues per operacions amb obligacions pròpies";
6780000000;"despeses excepcionals";
6800000000;"Amortització de l'immobilitzat intangible";
6810000000;"Amortització de l'immobilitzat material";
6820000000;"Amortització de les inversions immobiliàries";
6900000000;"Pèrdues per deteriorament d'l'immobilitzat intangible";
6910000000;"Pèrdues per deteriorament d'l'immobilitzat material";
6920000000;"Pèrdues per deteriorament de les inversions immobiliàries";
6930000000;"Pèrdues per deteriorament de productes acabats i en curs de fabricació";
6931000000;"Pèrdues per deteriorament de mercaderies";
6932000000;"Pèrdues per deteriorament de matèries primeres";
6933000000;"Pèrdues per deteriorament d'altres aprovisionaments";
6940000000;"Pèrdues per deteriorament de crèdits per operacions comercials";
6954000000;"Dotació a la provisió per contractes onerosos";
6959000000;"Dotació a la provisió per a altres operacions comercials";
6960000000;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a llarg termini, empreses de el grup";
6961000000;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a llarg termini, empreses associades";
6962000000;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a llarg termini, altres parts vinculades";
6963000000;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a llarg termini, altres empreses";
6965000000;"Pèrdues per deteriorament en valors representatius de deute a llarg termini, empreses de el grup";
6966000000;"Pèrdues per deteriorament en valors representatius de deute a llarg termini, empreses associades";
6967000000;"Pèrdues per deteriorament en valors representatius de deute a llarg termini, altres parts vinculades";
6968000000;"Pèrdues per deteriorament en valors representatius de deute a llarg termini, d'altres empreses";
6970000000;"Pèrdues per deteriorament de crèdits a llarg termini, empreses de el grup";
6971000000;"Pèrdues per deteriorament de crèdits a llarg termini, empreses associades";
6972000000;"Pèrdues per deteriorament de crèdits a llarg termini, altres parts vinculades";
6973000000;"Pèrdues per deteriorament de crèdits a llarg termini, altres empreses";
6980000000;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a curt termini, empreses de el grup";
6981000000;"Pèrdues per deteriorament de participacions en instruments de patrimoni net a curt termini, empreses associades";
6985000000;"Pèrdues per deteriorament en valors representatius de deute a curt termini, empreses de el grup";
6986000000;"Pèrdues per deteriorament en valors representatius de deute a curt termini, empreses associades";
