"cuenta";"descripcion";"cuentaesp"
21;"IMMOBILITZACIONS MATERIALS";
210;"Terrenys i béns naturals";
211;"Construccions";
212;"Instal·lacions tècniques";
213;"Maquinària";
214;"Utillatge";
215;"Altres instal·lacions";
216;"Mobiliari";
217;"Equips per a processos d'informació";
218;"Elements de transport";
219;"Altre immobilitzat material";
22;"INVERSIONS IMMOBILIÀRIES";
220;"Inversions en terrenys i béns naturals";
221;"Inversions en construccions";
23;"IMMOBILITZACIONS MATERIALS EN CURS";
230;"Adaptació de terrenys i béns naturals";
231;"Construccions en curs";
232;"Instal·lacions tècniques en muntatge";
233;"Maquinària en muntatge";
237;"Equips per a processos d'informació en muntatge";
239;"Avançaments per a immobilitzacions materials";
24;"INVERSIONS FINANCERES A LLARG TERMINI EN PARTS VINCULADES";
240;"Participacions a llarg termini en parts vinculades";
2403;"Participacions a llarg termini en empreses del grup";
2404;"Participacions a llarg termini en empreses associades";
2405;"Participacions a llarg termini en altres parts vinculades";
241;"Valors representatius de deute a llarg termini de parts vinculades";
2413;"Valors representatius de deute a llarg termini d'empreses del grup";
2414;"Valors representatius de deute a llarg termini d'empreses associades";
2415;"Valors representatius de deute a llarg termini d'altres parts vinculades";
242;"Crèdits a llarg termini a parts vinculades";
2423;"Crèdits a llarg termini a empreses del grup";
2424;"Crèdits a llarg termini a empreses associades";
2425;"Crèdits a llarg termini a altres parts vinculades";
249;"Desemborsaments pendents sobre participacions a llarg termini en parts vinculades";
2493;"Desemborsaments pendents sobre participacions a llarg termini en empreses del grup";
2494;"Desemborsaments pendents sobre participacions a llarg termini en empreses associades";
2495;"Desemborsaments pendents sobre participacions a llarg termini en altres parts vinculades";
25;"ALTRES INVERSIONS FINANCERES A LLARG TERMINI";
250;"Inversions financeres a llarg termini en instruments de patrimoni";
251;"Valors representatius de deute a llarg termini";
252;"Crèdits a llarg termini";
2520;"Crèdits a llarg termini amb tercers";
2527;"Crèdits a llarg termini amb socis per pèrdues a compensar";
253;"Crèdits a llarg termini per alienació d'immobilitzat";
254;"Crèdits a llarg termini al personal";
255;"Actius per derivats financers a llarg termini";
2550;"Actius per derivats financers a llarg termini, cartera de negociació";
2553;"Actius per derivats financers a llarg termini, instruments de cobertura";
257;"Drets de reemborsament derivats de contractes d'assegurança relatius a retribucions a llarg termini al personal";
258;"Imposicions a llarg termini";
259;"Desemborsaments pendents sobre participacions en el patrimoni net a llarg termini";
26;"FIANCES I DIPÒSITS CONSTITUÏTS A LLARG TERMINI";
260;"Fiances constituïdes a llarg termini";
265;"Dipòsits constituïts a llarg termini";
28;"AMORTITZACIÓ ACUMULADA DE L'IMMOBILITZAT";
280;"Amortització acumulada de l'immobilitzat intangible";
2800;"Amortització acumulada d'investigació";
2801;"Amortització acumulada de desenvolupament";
2802;"Amortització acumulada de concessions administratives";
2803;"Amortització acumulada de propietat industrial";
2805;"Amortització acumulada de drets de traspàs";
2806;"Amortització acumulada d'aplicacions informàtiques";
281;"Amortització acumulada de l'immobilitzat material";
2811;"Amortització acumulada de construccions";
2812;"Amortització acumulada d'instal·lacions tècniques";
2813;"Amortització acumulada de maquinària";
2814;"Amortització acumulada d'utillatge";
2815;"Amortització acumulada d'altres instal·lacions";
2816;"Amortització acumulada de mobiliari";
2817;"Amortització acumulada d'equips per a processos d'informació";
2818;"Amortització acumulada d'elements de transport";
2819;"Amortització acumulada d'un altre immobilitzat material";
282;"Amortització acumulada de les inversions immobiliàries";
29;"DETERIORAMENT DE VALOR D'ACTIUS NO CORRENTS";
290;"Deteriorament de valor de l'immobilitzat intangible";
2900;"Deteriorament de valor d'investigació";
2901;"Deteriorament del valor de desenvolupament";
2902;"Deteriorament de valor de concessions administratives";
2903;"Deteriorament de valor de propietat industrial";
2905;"Deteriorament de valor de drets de traspàs";
2906;"Deteriorament de valor d'aplicacions informàtiques";
291;"Deteriorament de valor de l'immobilitzat material";
2910;"Deteriorament de valor de terrenys i béns naturals";
2911;"Deteriorament de valor de construccions";
2912;"Deteriorament de valor d'instal·lacions tècniques";
2913;"Deteriorament de valor de maquinària";
2914;"Deteriorament de valor d'utillatge";
2915;"Deteriorament de valor d'altres instal·lacions";
2916;"Deteriorament de valor de mobiliari";
2917;"Deteriorament de valor d'equips per a processos d'informació";
2918;"Deteriorament de valor d'elements de transport";
2919;"Deteriorament de valor d'un altre immobilitzat material";
292;"Deteriorament de valor de les inversions immobiliàries";
2920;"Deteriorament de valor dels terrenys i béns naturals";
2921;"Deteriorament de valor de construccions";
293;"Deteriorament de valor de participacions a llarg termini en parts vinculades";
2933;"Deteriorament de valor de participacions a llarg termini en empreses del grup";
2934;"Deteriorament de valor de participacions a llarg termini en empreses associades";
2935;"Deteriorament de valor participacions a llarg termini en altres parts vinculades";
294;"Deteriorament de valor de valors representatius de deute a llarg termini de parts vinculades";
2943;"Deteriorament de valor de valors representatius de deute a llarg termini d'empreses del grup";
2944;"Deteriorament de valor de valors representatius de deute a llarg termini d'empreses associades";
2945;"Deteriorament de valor de valors representatius de deute a llarg termini d'altres parts vinculades";
295;"Deteriorament de valor de crèdits a llarg termini a parts vinculades";
2953;"Deteriorament de valor de crèdits a llarg termini a empreses del grup";
2954;"Deteriorament de valor de crèdits a llarg termini a empreses associades";
2955;"Deteriorament de valor de crèdits a llarg termini a altres parts vinculades";
296;"Deteriorament de valor de participacions en el patrimoni net a llarg termini";
297;"Deteriorament de valor de valors representatius de deute a llarg termini";
298;"Deteriorament de valor de crèdits a llarg termini";
3;"EXISTÈNCIES";
30;"COMERCIALS";
300;"Mercaderies A";
301;"Mercaderies B";
307;"Mercaderies adquirides a socis";
31;"MATÈRIES PRIMERES";
310;"Matèries primeres A";
311;"Matèries primeres B";
317;"Matèries primeres adquirides a socis";
32;"ALTRES APROVISIONAMENTS";
320;"Elements i conjunts incorporables";
321;"Combustibles";
322;"Recanvis";
325;"Materials diversos";
326;"Embalatges";
327;"Envasos";
328;"Material d'oficina";
33;"PRODUCTES EN CURS";
330;"Productes en curs A";
331;"Productes en curs B";
34;"PRODUCTES SEMIACABATS";
340;"Productes semiacabats A";
341;"Productes semiacabats B";
35;"PRODUCTES ACABATS";
350;"Productes acabats A";
351;"Productes acabats B";
36;"SUBPRODUCTES, RESIDUS I materials recuperats";
360;"Subproductes A";
361;"Subproductes B";
365;"Residus A";
366;"Residus B";
368;"Materials recuperats A";
369;"Materials recuperats B";
39;"DETERIORAMENT DE VALOR DE LES EXISTÈNCIES";
390;"Deteriorament de valor de les mercaderies";
391;"Deteriorament de valor de les matèries primeres";
392;"Deteriorament de valor d'altres aprovi sionamientos";
393;"Deteriorament de valor dels productes en curs";
394;"Deteriorament de valor dels productes semiacabats";
395;"Deteriorament de valor dels productes acabats";
396;"Deteriorament de valor dels subproductes, residus i materials recuperats";
4;"CREDITORS I DEUTORS PER OPERACIONS COMERCIALS";
40;"PROVEÏDORS";
400;"Proveïdors";"PROVEE"
4000;"Proveïdors (euros)";"PROVEE"
4004;"Proveïdors (moneda estrangera)";"PROVEE"
4007;"Proveïdors, socis cooperatius";
4009;"Proveïdors, factures pendents de rebre o de formalitzar";"PROVEE"
401;"Proveïdors, efectes comercials a pagar";"PROVEE"
403;"Proveïdors, empreses del grup";
4030;"Proveïdors, empreses del grup (euros)";"PROVEE"
4031;"Efectes comercials a pagar, empreses del grup";"PROVEE"
4034;"Proveïdors, empreses del grup (moneda estrangera)";"PROVEE"
4036;"Envasos i embalatges a retornar a proveïdors, empreses del grup";"PROVEE"
4039;"Proveïdors, empreses del grup, factures pendents de rebre o de formalitzar";"PROVEE"
404;"Proveïdors, empreses associades";"PROVEE"
405;"Proveïdors, altres parts vinculades";
406;"Envasos i embalatges a retornar a proveïdors";"PROVEE"
407;"Bestretes a proveïdors";"PROVEE"
41;"CREDITORS DIVERSOS";
410;"Creditors per prestacions de serveis";"ACREED"
4100;"Creditors per prestacions de serveis (euros)";"ACREED"
4104;"Creditors per prestacions de serveis, (moneda estrangera)";"ACREED"
4109;"Creditors per prestacions de serveis, factures pendents de rebre o de formalitzar";"ACREED"
411;"Creditors, efectes comercials a pagar";"ACREED"
419;"Creditors per operacions en comú";"ACREED"
43;"CLIENTS";
430;"Clients";"CLIENT"
4300;"Clients (euros)";"CLIENT"
4304;"Clients (moneda estrangera)";
4309;"Clients, factures pendents de formalitzar";"CLIENT"
431;"Clients, efectes comercials a cobrar";
4310;"Efectes comercials en cartera";"CLIENT"
4311;"Efectes comercials descomptats";"CLIENT"
4312;"Efectes comercials en gestió de cobrament";"CLIENT"
4315;"Efectes comercials impagats";"CLIENT"
432;"Clients, operacions de ""factoring""";
433;"Clients, empreses del grup";
4330;"Clients empreses del grup (euros)";"CLIENT"
4331;"Efectes comercials a cobrar, empreses del grup";"CLIENT"
4332;"Clients empreses del grup, operacions de ""factoring""";
4334;"Clients empreses del grup (moneda estrangera)";"CLIENT"
4336;"Clients empreses del grup de dubtós cobrament";
4337;"Envasos i embalatges a retornar a clients, empreses del grup";"CLIENT"
4339;"Clients empreses del grup, factures pendents de formalitzar";"CLIENT"
434;"Clients, empreses associades";"CLIENT"
435;"Clients, altres parts vinculades";
436;"Clients de dubtós cobrament";"CLIENT"
437;"Envasos i embalatges a retornar per clients";"CLIENT"
438;"Bestretes de clients";"CLIENT"
44;"DEUTORS DIVERSOS";
440;"Deutors";
4400;"Deutors (euros)";"CLIENT"
4404;"Deutors (moneda estrangera)";"CLIENT"
4409;"Deutors, factures pendents de formalitzar";"CLIENT"
441;"Deutors, efectes comercials a cobrar";
4410;"Deutors, efectes comercials en cartera";"CLIENT"
4411;"Deutors, efectes comercials descomptats";"CLIENT"
4412;"Deutors, efectes comercials en gestió de cobrament";"CLIENT"
4415;"Deutors, efectes comercials impagats";"CLIENT"
446;"Deutors de dubtós cobrament";"CLIENT"
447;"Socis deutors: crèdits per operacions amb socis";
449;"Deutors per operacions en comú";"CLIENT"
46;"PERSONAL";
460;"Bestretes de remuneracions";
465;"Remuneracions pendents de pagament";
4650;"Remuneracions pendents de pagament";
4651;"Bestretes laborals pendents de pagament";
466;"Remuneracions mitjançant sistemes d'aportació definida pendents de pagament";
47;"ADMINISTRACIONS PÚBLIQUES";
470;"Hisenda pública, deutora per diversos conceptes";
4700;"Hisenda pública, deutora per IVA";"IVADEU"
4708;"Hisenda pública, deutora per subvencions concedides";
4709;"Hisenda pública, deutora per devolució d'impostos";
471;"Organismes de la Seguretat Social, deutors";
472;"Hisenda pública, IVA suportat";"IVASOP"
473;"Hisenda Pública, retencions i pagaments a compte";"IRPF"
474;"Actius per impost diferit";
4740;"Actius per diferències temporànies deduïbles";
4742;"Drets per deduccions i bonificacions pendents d'aplicar";
4745;"Crèdit per pèrdues a compensar de l'exercici";
475;"Hisenda pública, creditora per conceptes fiscals";
4750;"Hisenda pública, creditora per IVA";"IVAACR"
4751;"Hisenda pública, creditora per retencions practicades";"IRPFPR"
4752;"Hisenda pública, creditora per impost sobre societats";
4758;"Hisenda pública, creditora per subvencions a reintegrar";
476;"Organismes de la Seguretat Social, creditors";
477;"Hisenda pública, IVA repercutit";"IVAREP"
479;"Passius per diferències temporànies imposables";
48;"AJUSTOS PER PERIODIFICACIÓ";
480;"Despeses anticipades";
485;"Ingressos anticipats";
49;"DETERIORAMENT DE VALOR DE CRÈDITS COMERCIALS I PROVISIONS A CURT TERMINI";
490;"Deteriorament de valor de crèdits per operacions comercials";
493;"Deteriorament de valor de crèdits per operacions comercials amb parts vinculades";
4933;"Deteriorament de valor de crèdits per operacions comercials amb empreses del grup";
4934;"Deteriorament de valor de crèdits per operacions comercials amb empreses associades";
4935;"Deteriorament de valor de crèdits per operacions comercials amb altres parts vinculades";
494;"Deteriorament de valor de crèdits per operacions amb socis deutors";
499;"Provisions per operacions comercials";
4994;"Provisió per contractes onerosos";
4999;"Provisió per a altres operacionescomerciales";
5;"COMPTES FINANCERS";
50;"EMPRÈSTITS, DEUTES AMB CARACTERÍSTIQUES ESPECIALS I ALTRES EMISSIONS ANÀLOGUES A curt termini";
500;"Obligacions i bons a curt termini";
501;"Obligacions i bons convertibles a curt termini";
502;"Accions o participacions a curt termini considerades passius financers";
5020;"Capital social cooperatiu amb caracterísitiques de deute a curt termini";
505;"Deutes representats en altres valors negociables a curt termini";
506;"Interessos a curt termini d'emprèstits i altres emissions anàlogues";
507;"Dividends d'accions o participacions considerades com a passius financers";
508;"Fons d'educació i promoció cooperatives a curt termini";
5080;"Fons d'educació i promoció cooperatives, saldo disposat a curt termini";
5081;"Fons d'educació i promoció cooperatives, saldo no disposat a curt termini";
509;"Valors negociables amortitzats";
5090;"Obligacions i bons amortitzats";
5091;"Obligacions i bons convertibles amortitzats";
5095;"Altres valors negociables amortitzats";
51;"Deutes a curt termini amb parts vinculades";
510;"Deutes a curt termini amb entitats de crèdit vinculades";
5103;"Deutes a curt termini amb entitats de crèdit, empreses del grup";
5104;"Deutes a curt termini amb entitats de crèdit, empreses associades";
5105;"Deutes a curt termini amb altres entitats de crèdit vinculades";
511;"Proveïdors d'immobilitzat a curt termini, parts vinculades";
5113;"Proveïdors d'immobilitzat a curt termini, empreses del grup";
5114;"Proveïdors d'immobilitzat a curt termini, empreses associades";
5115;"Proveïdors d'immobilitzat a curt termini, altres parts vinculades";
512;"Creditors per arrendament financer a curt termini, parts vinculades";
5123;"Creditors per arrendament financer a curt termini, empreses del grup";
5124;"Creditors per arrendament financer a curt termini, empreses associades";
5125;"Creditors per arrendament financer a curt termini, altres parts vinculades";
513;"D'altres deutes a curt termini amb parts vinculades";
5133;"D'altres deutes a curt termini amb empreses del grup";
5134;"D'altres deutes a curt termini amb empreses associades";
5135;"D'altres deutes a curt termini amb altres parts vinculades";
514;"Interessos a curt termini de deutes amb parts vinculades";
5143;"Interessos a curt termini de deutes, empreses del grup";
5144;"Interessos a curt termini de deutes, empreses associades";
5145;"Interessos a curt termini de deutes, altres parts vinculades";
52;"Deutes a curt termini PER PRÉSTECS REBUTS I ALTRES CONCEPTES";
520;"Deutes a curt termini amb entitats de crèdit";
5200;"Préstecs a curt termini d'entitats de crèdit";
5201;"Deutes a curt termini per crèdit disposat";
5208;"Deutes per efectes descomptats";
5209;"Deutes per operacions de ""factoring""";
521;"Deutes a curt termini";
5210;"Deutes a curt termini per reemborsament d'aportacions als socis.";
5211;"Creditors per fons de reserva obligatori a curt termini";
5212;"Creditors per fons de reemborsament o actualització a curt termini";
5213;"Creditors per fons de reserva voluntari a curt termini";
5214;"Creditors per fons capitalitzats a curt termini";
522;"Deutes a curt termini transformables en subvencions, donacions i llegats";
523;"Proveïdors d'immobilitzat a curt termini";
524;"Creditors per arrendament financer a curt termini";
525;"Efectes a pagar a curt termini";
526;"Retorn cooperatiu i renumeració discrecional a pagar a curt termini";
527;"Interessos a curt termini de deutes amb entitats de crèdit";
528;"Interessos a curt termini de deutes";
5280;"Interessos a curt termini de deutes";
5281;"Interessos a curt termini de deutes amb socis";
529;"Provisions a curt termini";
5290;"Provisió a curt termini per retribucions al personal";
5291;"Provisió a curt termini per a impostos";
5292;"Provisió a curt termini per a altres responsabilitats";
5293;"Provisió a curt termini per desmantellament, retirada o rehabilitació de l'immobilitzat";
5295;"Provisió a curt termini per a actuacions mediambientals";
5296;"Provisió a curt termini per reestructuracions";
5297;"Provisió a curt termini per transaccions amb pagaments basats en instruments de patrimoni";
5298;"Fons d'educacio, formacio i promocio a curt termini";
52980;"Fons d'educacio, formacio i promocio, saldo disposat a curt termini";
52981;"Fons d'educacio, formacio i promocio, saldo no disposat a curt termini";
53;"INVERSIONS FINANCERES A CURT TERMINI EN PARTS VINCULADES";
530;"Participacions a curt termini en parts vinculades";
5303;"Participacions a curt termini, en empreses del grup";
5304;"Participacions a curt termini, en empreses associades";
5305;"Participacions a curt termini, en altres parts vinculades";
531;"Valors representatius de deute a curt termini de parts vinculades";
5313;"Valors representatius de deute a curt termini d'empreses del grup";
5314;"Valors representatius de deute a curt termini d'empreses associades";
5315;"Valors representatius de deute a curt termini d'altres parts vinculades";
532;"Crèdits a curt termini a parts vinculades";
5323;"Crèdits a curt termini a empreses del grup";
5324;"Crèdits a curt termini a empreses associades";
5325;"Crèdits a curt termini a altres parts vinculades";
533;"Interessos a curt termini de valors representatius de deute de parts vinculades";
5333;"Interessos a curt termini de valors representatius de deute d'empreses del grup";
5334;"Interessos a curt termini de valors representatius de deute d'empreses associades";
5335;"Interessos a curt termini de valors representatius de deute d'altres parts vinculades";
534;"Interessos a curt termini de crèdits a parts vinculades";
5343;"Interessos a curt termini de crèdits a empreses del grup";
5344;"Interessos a curt termini de crèdits a empreses associades";
5345;"Interessos a curt termini de crèdits a altres parts vinculades";
535;"Dividend a cobrar d'inversions financeres en parts vinculades";
5353;"Dividend a cobrar d'empreses de grup";
5354;"Dividend a cobrar d'empreses associades";
5355;"Dividend a cobrar d'altres parts vinculades";
539;"Desemborsaments pendents sobre participacions a curt termini en parts vinculades";
5393;"Desemborsaments pendents sobre participacions a curt termini en empreses del grup";
5394;"Desemborsaments pendents sobre participacions a curt termini en empreses associades";
5395;"Desemborsaments pendents sobre participacions a curt termini en altres parts vinculades";
54;"ALTRES INVERSIONS FINANCERES A CURT TERMINI";
540;"Inversions financeres a curt termini en instruments d'patrimoni";
541;"Valors representatius de deute a curt termini";
542;"Crèdits a curt termini";
5420;"Crèdits a curt termini";
5427;"Crèdits amb socis per pèrdues a compensar a curt termini";
543;"Crèdits a curt termini per alienació d'immobilitzat";
544;"Crèdits a curt termini al personal";
545;"Dividend a cobrar";
546;"Interessos a curt termini de valors representatius de deutes";
547;"Interessos a curt termini de crèdits";
5470;"Interessos a curt termini de crèdits";
5476;"Interessos a curt termini de deutes amb socis";
548;"Imposicions a curt termini";
549;"Desemborsaments pendents sobre participacions en el patrimoni net a curt termini";
55;"ALTRES COMPTES NO BANCARIS";
550;"Titular de l'explotació";
551;"Compte corrent amb socis i administradors";
552;"Compte corrent amb altres persones i entitats vinculades";
5523;"Compte corrent amb empreses del grup";
5524;"Compte corrent amb empreses associades";
5525;"Compte corrent amb altres parts vinculades";
553;"Comptes corrents en fusions i escissions";
5530;"Socis de societat dissolta";
5531;"Socis, compte de fusió";
5532;"Socis de societat escindida";
5533;"Socis, compte d'escissió";
554;"Compte corrent amb unions temporals d'empreses i comunitats de béns";
555;"Partides pendents d'aplicació";"SUPLI"
5551;"Rectificació de valoracions";
556;"Desemborsaments exigits sobre participacions en el patrimoni net";
5563;"Desemborsaments exigits sobre participacions, empreses del grup";
5564;"Desemborsaments exigits sobre participacions, empreses associades";
5565;"Desemborsaments exigits sobre participacions, altres parts vinculades";
5566;"Desemborsaments exigits sobre participacions d'altres empreses";
557;"Dividend actiu a compte";
5571;"Remuneracions d'aportacions al capital social a compte";
5572;"Retorn actiu a compte";
558;"Socis per desemborsaments exigits";
5580;"Socis per desemborsaments exigits sobre accions o participacions ordinàries";
5585;"Socis per desemborsaments exigits sobre accions o participacions considerades com a passius financers";
55850;"Desemborsaments exigits sobre capital social cooperatiu considerats com a passiu financer";
559;"Derivats financers a curt termini";
5590;"Actius per derivats financers a curt termini, cartera de negociació";
5593;"Actius per derivats financers a curt termini, instruments de cobertura";
5595;"Passius per derivats financers a curt termini, cartera de negociació";
5598;"Passius per derivats financers a curt termini, instruments de cobertura";
56;"FIANCES I DIPÒSITS REBUTS I CONSTITUÏTS A curt termini I AJUSTOS PER PERIODIFICACIÓ";
560;"Fiances rebudes a curt termini";
561;"Dipòsits rebuts a curt termini";
565;"Fiances constituïdes a curt termini";
566;"Dipòsits constituïts a curt termini";
567;"Interessos pagats per anticipat";
568;"Interessos cobrats per anticipat";
569;"Garanties financeres a curt termini";
57;"TRESORERIA";
570;"Caixa, euros";"CAJA"
571;"Caixa, moneda estrangera";
572;"Bancs i institucions de crèdit c / c vista, euros";
573;"Bancs i institucions de crèdit c / c vista, moneda estrangera";
574;"Bancs i institucions de crèdit, comptes d'estalvi, euros";
575;"Bancs i institucions de crèdit, comptes d'estalvi, moneda estrangera";
576;"Inversions a curt termini de gran liquiditat";
58;"ACTIUS NO CORRENTS MANTINGUTS PER A LA VENDA I ACTIUS I PASSIUS ASSOCIATS";
580;"Immobilitzat";
581;"Inversions amb persones i entitats vinculades";
582;"Inversions financeres";
583;"Existències, deutors comercials i altres comptes a cobrar";
