"cuenta";"descripcion";"cuentaesp"
132;"Otras subvenciones, donaciones y legados";
133;"Ajustes por valoración en activos financieros disponibles para la venta";
134;"Operaciones de cobertura";
1340;"Cobertura de flujos de efectivo";
1341;"Cobertura de una inversión neta en un negocio en el extranjero";
135;"Diferencias de conversión";"DIVPOS"
136;"Ajustes por valoración en activos no corrientes y grupos enajenables de elementos, mantenidos para la venta";
137;"Ingresos fiscales a distribuir en varios ejercicios";
1370;"Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios";
1371;"Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios";
14;"PROVISIONES";
140;"Provisión por retribuciones a largo plazo al personal";
141;"Provisión para impuestos";
142;"Provisión para otras responsabilidades";
143;"Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado";
145;"Provisión para actuaciones medioambientales";
146;"Provisión para reestructuraciones";
147;"Provisión por transacciones con pagos basados en instrumentos de patrimonio";
148;"Fondo de educación, formación y promoción a largo plazo";
1480;"Fondo de educación, formación y promoción, saldo dispuesto a largo plazo";
1481;"Fondo de educación, formación y promoción, saldo no dispuesto a largo plazo";
15;"DEUDAS A LARGO PLAZO CON CARACTERÍSTICAS ESPECIALES";
150;" Capital Social a Largo Plazo considerado Pasivo Financiero";
1500;"Capital Social Cooperativo a largo plazo considerado pasivo financiero aportaciones obligatorias";
1501;"Capital Social Cooperativo a largo plazo considerado pasivo financiero aportaciones voluntarias";
1502;"Capital Social Cooperativo a largo plazo considerado pasivo financiero: socios colaboradores y asociados o adheridos";
15020;"Socios colaboradores";
15021;"Asociados o adheridos";
153;"Desembolsos no exigidos por acciones o participaciones consideradas como pasivos financieros";
1530;"Desembolso no exigos por Capital social cooperativo considerado como pasivo financiero";
1533;"Desembolsos no exigidos, empresas del grupo";
1534;"Desembolsos no exigidos, empresas asociadas";
1535;"Desembolsos no exigidos, otras partes vinculadas";
1536;"Otros desembolsos no exigidos";
154;"Aportaciones no dinerarias pendientes por acciones o participaciones consideradas como pasivos financieros";
1543;"Aportaciones no dinerarias pendientes,empresas del grupo";
1544;"Aportaciones no dinerarias pendientes,empresas asociadas";
1545;"Aportaciones no dinerarias pendientes,otras partes vinculadas";
1546;"Otras aportaciones no dinerarias pendientes";
156;"Capital reembolsable exigible a largo plazo";
16;"DEUDAS A LARGO PLAZO CON PARTES VINCULADAS";
160;"Deudas a largo plazo con entidades de crédito vinculadas";
1603;"Deudas a largo plazo con entidades de crédito, empresas del grupo";
1604;"Deudas a largo plazo con entidades de crédito, empresas asociadas";
1605;"Deudas a largo plazo con otras entidades de crédito vinculadas";
161;"Proveedores de inmovilizado a largo plazo, partes vinculadas";
1613;"Proveedores de inmovilizado a largo plazo, empresas del grupo";
1614;"Proveedores de inmovilizado a largo plazo, empresas asociadas";
1615;"Proveedores de inmovilizado a largo plazo, otras partes vinculadas";
162;"Acreedores por arrendamiento financiero a largo plazo, partes vinculadas";
1623;"Acreedores por arrendamiento financiero a largo plazo, empresas de grupo";
1624;"Acreedores por arrendamiento financiero a largo plazo, empresas asociadas";
1625;"Acreedores por arrendamiento financiero a largo plazo, otras partes vinculadas";
163;"Otras deudas a largo plazo con partes vinculadas";
1633;"Otras deudas a largo plazo, empresas del grupo";
1634;"Otras deudas a largo plazo, empresas asociadas";
1635;"Otras deudas a largo plazo, con otras partes vinculadas";
164;"Retorno cooperativo a pagar a largo plazo";
167;"Otras participaciones a largo plazo";
17;"DEUDAS A LARGO PLAZO POR PRÉSTAMOS RECIBIDOS, EMPRÉSTITOS Y OTROS CONCEPTOS";
170;"Deudas a largo plazo con entidades de crédito";
171;"Deudas a largo plazo";
1710;"Deudas a largo plazo por reembolso de aportaciones a los socios";
1711;"Acreedores por reserva obligatoria a largo plazo";
1712;"Acreedores por fondo de reembolso o actualizacion a largo plazo";
1713;"Acreedores por fondo de reserva voluntario a largo plazo";
1714;"Acreedores por fondos capitalizados a largo plazo";
1715;"Retorno cooperativo y renumeracion discrecional a pagar a largo plazo";
172;"Deudas a largo plazo transformables en subvenciones,donaciones y legados";
173;"Proveedores de inmovilizado a largo plazo";
174;"Acreedores por arrendamiento financiero a largo plazo";
175;"Efectos a pagar a largo plazo";
176;"Pasivos por derivados financieros a largo plazo";
1765;"Pasivos por derivados financieros a largo plazo, cartera de negociación";
1768;"Pasivos por derivados financieros a largo plazo, instrumentos de cobertura";
177;"Obligaciones y bonos";
178;"Obligaciones y bonos convertibles";
179;"Deudas representadas en otros valores negociables";
18;"PASIVOS POR FIANZAS, GARANTÍAS Y OTROS CONCEPTOS A LARGO PLAZO";
180;"Fianzas recibidas a largo plazo";
181;"Anticipos recibidos por ventas o prestaciones de servicios a largo plazo";
185;"Depósitos recibidos a largo plazo";
189;"Garantías financieras a largo plazo";
19;"SITUACIONES TRANSITORIAS DE FINANCIACIÓN";
190;"Participaciones sociales emitidas";
192;"Suscriptores de particpaciones sociales";
194;"Capital emitido pendiente de inscripción";
195;"Participaciones emitidas consideradas como pasivos financieros";
197;"Suscriptores de acciones consideradas como pasivos financieros";
199;"Participaciones emitidas consideradas como pasivos financieros pendientes de inscripción";
2;"ACTIVO NO CORRIENTE";
20;"INMOVILIZACIONES INTANGIBLES";
200;"Investigación";
201;"Desarrollo";
202;"Concesiones administrativas";
203;"Propiedad industrial";
204;"Fondo de comercio";
205;"Derechos de traspaso";
206;"Aplicaciones informáticas";
209;"Anticipos para inmovilizaciones intangibles";
21;"INMOVILIZACIONES MATERIALES";
210;"Terrenos y bienes naturales";
2100;"Terrenos y bienes naturales";
211;"Construcciones";
2110;"Construcciones";
212;"Instalaciones técnicas";
2120;"Instalaciones técnicas";
213;"Maquinaria";
2130;"Maquinaria";
214;"Utillaje";
2140;"Utillaje";
215;"Otras instalaciones";
2150;"Otras instalaciones";
216;"Mobiliario";
2160;"Mobiliario";
217;"Equipos para procesos de información";
2170;"Equipos para procesos de información";
218;"Elementos de transporte";
2180;"Elementos de transporte";
219;"Otro inmovilizado material";
2190;"Otro inmovilizado material";
22;"INVERSIONES INMOBILIARIAS";
220;"Inversiones en terrenos y bienes naturales";
2200;"Inversiones en terrenos y bienes naturales";
221;"Inversiones en construcciones";
2210;"Inversiones en construcciones";
23;"INMOVILIZACIONES MATERIALES EN CURSO";
230;"Adaptación de terrenos y bienes naturales";
231;"Construcciones en curso";
232;"Instalaciones técnicas en montaje";
233;"Maquinaria en montaje";
237;"Equipos para procesos de información en montaje";
239;"Anticipos para inmovilizaciones materiales";
24;"INVERSIONES FINANCIERAS A LARGO PLAZO EN PARTES VINCULADAS";
240;"Participaciones a largo plazo en partes vinculadas";
2403;"Participaciones a largo plazo en empresas del grupo";
2404;"Participaciones a largo plazo en empresas asociadas";
2405;"Participaciones a largo plazo en otras partes vinculadas";
241;"Valores representativos de deuda a largo plazo de partes vinculadas";
2413;"Valores representativos de deuda a largo plazo de empresas del grupo";
2414;"Valores representativos de deuda a largo plazo de empresas asociadas";
2415;"Valores representativos de deuda a largo plazo de otras partes vinculadas";
242;"Créditos a largo plazo a partes vinculadas";
2423;"Créditos a largo plazo a empresas del grupo";
2424;"Créditos a largo plazo a empresas asociadas";
2425;"Créditos a largo plazo a otras partes vinculadas";
249;"Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas";
2493;"Desembolsos pendientes sobre participaciones a largo plazo en em presas del grupo";
2494;"Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas";
2495;"Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas";
25;"OTRAS INVERSIONES FINANCIERAS A LARGO PLAZO";
250;"Inversiones financieras a largo plazo en instrumentos de patrimonio";
251;"Valores representativos de deuda a largo plazo";
252;"Créditos a largo plazo";
2520;"Créditos a largo plazo con terceros";
2527;"Creditos  a largo plazo con socios por perdidas a compensar";
253;"Créditos a largo plazo por enajenación de inmovilizado";
254;"Créditos a largo plazo al personal";
255;"Activos por derivados financieros a largo plazo";
2550;"Activos por derivados financieros a largo plazo, cartera de negociación";
2553;"Activos por derivados financieros a largo plazo, instrumentos de cobertura";
257;"Derechos de reembolso derivados de contratos de seguro relativos a retribuciones a largo plazo al personal";
258;"Imposiciones a largo plazo";
259;"Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo";
26;"FIANZAS Y DEPÓSITOS CONSTITUIDOS A LARGO PLAZO";
260;"Fianzas constituidas a largo plazo";
265;"Depósitos constituidos a largo plazo";
28;"AMORTIZACIÓN ACUMULADA DEL INMOVILIZADO";
280;"Amortización acumulada del inmovilizado intangible";
2800;"Amortización acumulada de investigación";
2801;"Amortización acumulada de desarrollo";
2802;"Amortización acumulada de concesiones administrativas";
2803;"Amortización acumulada de propiedad industrial";
2805;"Amortización acumulada de derechos de traspaso";
2806;"Amortización acumulada de aplicaciones informáticas";
281;"Amortización acumulada del inmovilizado material";
2811;"Amortización acumulada de construcciones";
28110;"Amortización acumulada de construcciones";
2812;"Amortización acumulada de instalaciones técnicas";
28120;"Amortización acumulada de instalaciones técnicas";
2813;"Amortización acumulada de maquinaria";
28130;"Amortización acumulada de maquinaria";
2814;"Amortización acumulada de utillaje";
28140;"Amortización acumulada de utillaje";
2815;"Amortización acumulada de otras instalaciones";
28150;"Amortización acumulada de otras instalaciones";
2816;"Amortización acumulada de mobiliario";
28160;"Amortización acumulada de mobiliario";
2817;"Amortización acumulada de equipos para procesos de información";
28170;"Amortización acumulada de equipos para procesos de información";
2818;"Amortización acumulada de elementos de transporte";
28180;"Amortización acumulada de elementos de transporte";
2819;"Amortización acumulada de otro inmovilizado material";
28190;"Amortización acumulada de otro inmovilizado material";
282;"Amortización acumulada de las inversiones inmobiliarias";
29;"DETERIORO DE VALOR DE ACTIVOS NO CORRIENTES";
290;"Deterioro de valor del inmovilizado intangible";
2900;"Deterioro de valor de investigación";
2901;"Deterioro del valor de desarrollo";
2902;"Deterioro de valor de concesiones administrativas";
2903;"Deterioro de valor de propiedad industrial";
2905;"Deterioro de valor de derechos de traspaso";
2906;"Deterioro de valor de aplicaciones informáticas";
291;"Deterioro de valor del inmovilizado material";
2910;"Deterioro de valor de terrenos y bienes naturales";
2911;"Deterioro de valor de construcciones";
2912;"Deterioro de valor de instalaciones técnicas";
2913;"Deterioro de valor de maquinaria";
2914;"Deterioro de valor de utillaje";
2915;"Deterioro de valor de otras instalaciones";
2916;"Deterioro de valor de mobiliario";
2917;"Deterioro de valor de equipos para procesos de información";
2918;"Deterioro de valor de elementos de transporte";
2919;"Deterioro de valor de otro inmovilizado material";
292;"Deterioro de valor de las inversiones inmobiliarias";
2920;"Deterioro de valor de los terrenos y bienes naturales";
2921;"Deterioro de valor de construcciones";
293;"Deterioro de valor de participaciones a largo plazo en partes vinculadas";
2933;"Deterioro de valor de participaciones a largo plazo en empresas del grupo";
2934;"Deterioro de valor de participaciones a largo plazo en empresas asociadas";
2935;"Deterioro de valor participaciones a largo plazo en otras partes vinculadas";
294;"Deterioro de valor de valores representativos de deuda a largo plazo de partes vinculadas";
2943;"Deterioro de valor de valores representativos de deuda a largo plazo de empresas del grupo";
2944;"Deterioro de valor de valores representativos de deuda a largo plazo de empresas asociadas";
2945;"Deterioro de valor de valores representativos de deuda a largo plazo de otras partes vinculadas";
295;"Deterioro de valor de créditos a largo plazo a partes vinculadas";
2953;"Deterioro de valor de créditos a largo plazo a empresas del grupo";
2954;"Deterioro de valor de créditos a largo plazo a empresas asociadas";
2955;"Deterioro de valor de créditos a largo plazo a otras partes vinculadas";
296;"Deterioro de valor de participaciones en el patrimonio neto a largo plazo";
297;"Deterioro de valor de valores representativos de deuda a largo plazo";
298;"Deterioro de valor de créditos a largo plazo";
3;"EXISTENCIAS";
30;"COMERCIALES";
300;"Mercaderías A";
301;"Mercaderías B";
307;"Mercaderias adquiridas a socios";
31;"MATERIAS PRIMAS";
310;"Materias primas A";
311;"Materias primas B";
317;"Materias primas adquiridas a socios";
32;"OTROS APROVISIONAMIENTOS";
320;"Elementos y conjuntos incorporables";
321;"Combustibles";
322;"Repuestos";
325;"Materiales diversos";
326;"Embalajes";
327;"Envases";
328;"Material de oficina";
33;"PRODUCTOS EN CURSO";
330;"Productos en curso A";
331;"Productos en curso B";
34;"PRODUCTOS SEMITERMINADOS";
340;"Productos semiterminados A";
341;"Productos semiterminados B";
35;"PRODUCTOS TERMINADOS";
350;"Productos terminados A";
351;"Productos terminados B";
36;"SUBPRODUCTOS, RESIDUOS Y MATERIALES RECUPERADOS";
360;"Subproductos A";
361;"Subproductos B";
365;"Residuos A";
366;"Residuos B";
368;"Materiales recuperados A";
369;"Materiales recuperados B";
39;"DETERIORO DE VALOR DE LAS EXISTENCIAS";
390;"Deterioro de valor de las mercaderías";
391;"Deterioro de valor de las materias primas";
392;"Deterioro de valor de otros aprovi sionamientos";
393;"Deterioro de valor de los productos en curso";
394;"Deterioro de valor de los productos semiterminados";
395;"Deterioro de valor de los productos terminados";
396;"Deterioro de valor de los subproductos, residuos y materiales recuperados";
4;"ACREEDORES Y DEUDORES POR OPERACIONES COMERCIALES";
40;"PROVEEDORES";
400;"Proveedores";"PROVEE"
4000;"Proveedores (euros)";"PROVEE"
4004;"Proveedores (moneda extranjera)";"PROVEE"
4007;"Proveedores, socios cooperativos";
4009;"Proveedores, facturas pendientes de recibir o de formalizar";"PROVEE"
401;"Proveedores, efectos comerciales a pagar";"PROVEE"
403;"Proveedores, empresas del grupo";
4030;"Proveedores, empresas del grupo (euros)";"PROVEE"
4031;"Efectos comerciales a pagar, empresas del grupo";"PROVEE"
4034;"Proveedores, empresas del grupo (moneda extranjera)";"PROVEE"
4036;"Envases y embalajes a devolver a proveedores, empresas del grupo";"PROVEE"
4039;"Proveedores, empresas del grupo,facturas pendientes de recibir o de formalizar";"PROVEE"
404;"Proveedores, empresas asociadas";"PROVEE"
405;"Proveedores, otras partes vinculadas";
406;"Envases y embalajes a devolver a proveedores";"PROVEE"
407;"Anticipos a proveedores";"PROVEE"
41;"ACREEDORES VARIOS";
410;"Acreedores por prestaciones de servicios";"ACREED"
4100;"Acreedores por prestaciones de servicios (euros)";"ACREED"
4104;"Acreedores por prestaciones de servicios, (moneda extranjera)";"ACREED"
4109;"Acreedores por prestaciones de servicios,facturas pendientes de recibir o de formalizar";"ACREED"
411;"Acreedores, efectos comerciales a pagar";"ACREED"
419;"Acreedores por operaciones en común";"ACREED"
43;"CLIENTES";
430;"Clientes";"CLIENT"
4300;"Clientes (euros)";"CLIENT"
4304;"Clientes (moneda extranjera)";
4309;"Clientes, facturas pendientes de formalizar";"CLIENT"
431;"Clientes, efectos comerciales a cobrar";
4310;"Efectos comerciales en cartera";"CLIENT"
4311;"Efectos comerciales descontados";"CLIENT"
4312;"Efectos comerciales en gestión de cobro";"CLIENT"
4315;"Efectos comerciales impagados";"CLIENT"
432;"Clientes, operaciones de “factoring”";
433;"Clientes, empresas del grupo";
4330;"Clientes empresas del grupo (euros)";"CLIENT"
4331;"Efectos comerciales a cobrar, empresas del grupo";"CLIENT"
4332;"Clientes empresas del grupo, operaciones de “factoring”";
4334;"Clientes empresas del grupo (moneda extranjera)";"CLIENT"
4336;"Clientes empresas del grupo de dudoso cobro";
4337;"Envases y embalajes a devolver a clientes, empresas del grupo";"CLIENT"
4339;"Clientes empresas del grupo, facturas pendientes de formalizar";"CLIENT"
434;"Clientes, empresas asociadas";"CLIENT"
435;"Clientes, otras partes vinculadas";
436;"Clientes de dudoso cobro";"CLIENT"
437;"Envases y embalajes a devolver por clientes";"CLIENT"
438;"Anticipos de clientes";"CLIENT"
44;"DEUDORES VARIOS";
440;"Deudores";
4400;"Deudores (euros)";"CLIENT"
4404;"Deudores (moneda extranjera)";"CLIENT"
4409;"Deudores, facturas pendientes de formalizar";"CLIENT"
441;"Deudores, efectos comerciales a cobrar";
4410;"Deudores, efectos comerciales en cartera";"CLIENT"
4411;"Deudores, efectos comerciales descontados";"CLIENT"
4412;"Deudores, efectos comerciales en gestión de cobro";"CLIENT"
4415;"Deudores, efectos comerciales impagados";"CLIENT"
446;"Deudores de dudoso cobro";"CLIENT"
447;"Socios deudores: creditos por operaciones efectuadas con socios";
449;"Deudores por operaciones en común";"CLIENT"
46;"PERSONAL";
460;"Anticipos de remuneraciones";
465;"Remuneraciones pendientes de pago";
4650;"Remuneraciones pendientes de pago";
4651;"Anticipos laborales pendientes de pago";
466;"Remuneraciones mediante sistemas de aportación definida pendientes de pago";
47;"ADMINISTRACIONES PÚBLICAS";
470;"Hacienda Pública, deudora por diversos conceptos";
4700;"Hacienda Pública, deudora por IVA";"IVADEU"
4708;"Hacienda Pública, deudora por subvenciones concedidas";
4709;"Hacienda Pública, deudora por devolución de impuestos";
471;"Organismos de la Seguridad Social, deudores";
472;"Hacienda Pública, IVA soportado";"IVASOP"
473;"Hacienda Pública, retenciones y pagos a cuenta";"IRPF"
474;"Activos por impuesto diferido";
4740;"Activos por diferencias temporarias deducibles";
4742;"Derechos por deducciones y bonificaciones pendientes de aplicar";
4745;"Crédito por pérdidas a compensar del ejercicio";
475;"Hacienda Pública, acreedora por conceptos fiscales";
4750;"Hacienda Pública, acreedora por IVA";"IVAACR"
4751;"Hacienda Pública, acreedora por retenciones practicadas";"IRPFPR"
4752;"Hacienda Pública, acreedora por impuesto sobre sociedades";
4758;"Hacienda Pública, acreedora por subvenciones a reintegrar";
476;"Organismos de la Seguridad Social, acreedores";
477;"Hacienda Pública, IVA repercutido";"IVAREP"
479;"Pasivos por diferencias temporarias imponibles";
48;"AJUSTES POR PERIODIFICACIÓN";
480;"Gastos anticipados";
485;"Ingresos anticipados";
49;"DETERIORO DE VALOR DE CRÉDITOS COMERCIALES Y PROVISIONES A CORTO PLAZO";
490;"Deterioro de valor de créditos por operaciones comerciales";
493;"Deterioro de valor de créditos por operaciones comerciales con partes vinculadas";
4933;"Deterioro de valor de créditos por operaciones comerciales con empresas del grupo";
4934;"Deterioro de valor de créditos por operaciones comerciales con empresas asociadas";
4935;"Deterioro de valor de créditos por operaciones comerciales con otras partes vinculadas";
494;"Deterioro de valor de créditos por operaciones con socios deudores";
499;"Provisiones por operaciones comerciales";
4994;"Provisión por contratos onerosos";
4999;"Provisión para otras operacionescomerciales";
5;"CUENTAS FINANCIERAS";
50;"EMPRÉSTITOS, DEUDAS CON CARÁCTERÍSTICAS ESPECIALES Y OTRAS EMISIONES ANÁLOGAS A CORTO PLAZO";
500;"Obligaciones y bonos a corto plazo";
501;"Obligaciones y bonos convertibles a corto plazo";
502;"Acciones o participaciones a corto plazo consideradas como pasivos financieros";
5020;"Capital social cooperativo con caracterisiticas de deuda a corto plazo";
505;"Deudas representadas en otros valores negociables a corto plazo";
506;"Intereses a corto plazo de empréstitos y otras emisiones análogas";
507;"Dividendos de acciones o participaciones consideradas como pasivos financieros";
508;"Fondo de educación y promoción cooperativas a corto plazo";
5080;"Fondo de educación y promoción cooperativas, saldo dispuesto a corto plazo";
5081;"Fondo de educación y promoción cooperativas, saldo no dispuesto a corto plazo";
509;"Valores negociables amortizados";
5090;"Obligaciones y bonos amortizados";
5091;"Obligaciones y bonos convertibles amortizados";
5095;"Otros valores negociables amortizados";
51;"DEUDAS A CORTO PLAZO CON PARTES VINCULADAS";
510;"Deudas a corto plazo con entidades de crédito vinculadas";
5103;"Deudas a corto plazo con entidades de crédito, empresas del grupo";
5104;"Deudas a corto plazo con entidades de crédito, empresas asociadas";
5105;"Deudas a corto plazo con otras entidades de crédito vinculadas";
511;"Proveedores de inmovilizado a corto plazo,partes vinculadas";
5113;"Proveedores de inmovilizado a corto plazo, empresas del grupo";
5114;"Proveedores de inmovilizado a corto plazo, empresas asociadas";
5115;"Proveedores de inmovilizado a corto plazo, otras partes vinculadas";
512;"Acreedores por arrendamiento financiero a corto plazo, partes vinculadas";
5123;"Acreedores por arrendamiento financiero a corto plazo, empresas del grupo";
5124;"Acreedores por arrendamiento financiero a corto plazo, empresas asociadas";
5125;"Acreedores por arrendamiento financiero a corto plazo, otras partes vinculadas";
513;"Otras deudas a corto plazo con partes vinculadas";
5133;"Otras deudas a corto plazo con empresas del grupo";
5134;"Otras deudas a corto plazo con empresas asociadas";
5135;"Otras deudas a corto plazo con otras partes vinculadas";
514;"Intereses a corto plazo de deudas con partes vinculadas";
5143;"Intereses a corto plazo de deudas, empresas del grupo";
5144;"Intereses a corto plazo de deudas, empresas asociadas";
5145;"Intereses a corto plazo de deudas, otras partes vinculadas";
52;"DEUDAS A CORTO PLAZO POR PRÉSTAMOS RECIBIDOS Y OTROS CONCEPTOS";
520;"Deudas a corto plazo con entidades de crédito";
5200;"Préstamos a corto plazo de entidades de crédito";
5201;"Deudas a corto plazo por crédito dispuesto";
5208;"Deudas por efectos descontados";
5209;"Deudas por operaciones de “factoring”";
521;"Deudas a corto plazo";
5210;"Deudas a corto plazo por reembolso de aportaciones a los socios.";
5211;"Acreedores por fondo de reserva obligatorio a corto plazo";
5212;"Acreedores por fondo de reembolso o actualizacion a corto plazo";
5213;"Acreedores por fondo de reserva voluntario a corto plazo";
5214;"Acreedores por fondos capitalizados a corto plazo";
522;"Deudas a corto plazo transformables en subvenciones, donaciones y legados";
523;"Proveedores de inmovilizado a corto plazo";
524;"Acreedores por arrendamiento financiero a corto plazo";
525;"Efectos a pagar a corto plazo";
526;"Retorno cooperativo y renumeracion discrecional a pagar a corto plazo";
527;"Intereses a corto plazo de deudas con entidades de crédito";
528;"Intereses a corto plazo de deudas";
5280;"Intereses a corto plazo de deudas";
5281;"Intereses a corto plazo de deudas con socios";
529;"Provisiones a corto plazo";
5290;"Provisión a corto plazo por retribuciones al personal";
5291;"Provisión a corto plazo para impuestos";
5292;"Provisión a corto plazo para otras responsabilidades";
5293;"Provisión a corto plazo por desmantelamiento,retiro o rehabilitación del inmovilizado";
5295;"Provisión a corto plazo para actuaciones medioambientales";
5296;"Provisión a corto plazo para reestructuraciones";
5297;"Provisión a corto plazo por transacciones con pagos basados en instrumentos de patrimonio";
5298;"Fondo de educacion, formacion y promocion a corto plazo";
52980;"Fondo de educacion, formacion y promocion, saldo dispuesto a corto plazo";
52981;"Fondo de educacion, formacion y promocion, saldo no dispuesto a corto plazo";
53;"INVERSIONES FINANCIERAS A CORTO PLAZO EN PARTES VINCULADAS";
530;"Participaciones a corto plazo en partes vinculadas";
5303;"Participaciones a corto plazo, en empresas del grupo";
5304;"Participaciones a corto plazo, en empresas asociadas";
5305;"Participaciones a corto plazo, en otras partes vinculadas";
531;"Valores representativos de deuda a corto plazo de partes vinculadas";
5313;"Valores representativos de deuda a corto plazo de empresas del grupo";
5314;"Valores representativos de deuda a corto plazo de empresas asociadas";
5315;"Valores representativos de deuda a corto plazo de otras partes vinculadas";
532;"Créditos a corto plazo a partes vinculadas";
5323;"Créditos a corto plazo a empresas del grupo";
5324;"Créditos a corto plazo a empresas asociadas";
5325;"Créditos a corto plazo a otras partes vinculadas";
533;"Intereses a corto plazo de valores representativos de deuda de partes vinculadas";
5333;"Intereses a corto plazo de valores representativos de deuda de empresas del grupo";
5334;"Intereses a corto plazo de valores representativos de deuda de empresas asociadas";
5335;"Intereses a corto plazo de valores representativos de deuda de otras partes vinculadas";
534;"Intereses a corto plazo de créditos a partes vinculadas";
5343;"Intereses a corto plazo de créditos a empresas del grupo";
5344;"Intereses a corto plazo de créditos a empresas asociadas";
5345;"Intereses a corto plazo de créditos a otras partes vinculadas";
535;"Dividendo a cobrar de inversiones financieras en partes vinculadas";
5353;"Dividendo a cobrar de empresas de grupo";
5354;"Dividendo a cobrar de empresas asociadas";
5355;"Dividendo a cobrar de otras partes vinculadas";
539;"Desembolsos pendientes sobre participaciones a corto plazo en partes vinculadas";
5393;"Desembolsos pendientes sobre participaciones a corto plazo en em presas del grupo";
5394;"Desembolsos pendientes sobre participaciones a corto plazo en empresas asociadas";
5395;"Desembolsos pendientes sobre participaciones a corto plazo en otras partes vinculadas";
54;"OTRAS INVERSIONES FINANCIERAS A CORTO PLAZO";
540;"Inversiones financieras a corto plazo en instrumentosde patrimonio";
541;"Valores representativos de deuda a corto plazo";
542;"Créditos a corto plazo";
5420;"Créditos a corto plazo";
5427;"Creditos con socios por perdidas a compensar a corto plazo";
543;"Créditos a corto plazo por enajenación de inmovilizado";
544;"Créditos a corto plazo al personal";
545;"Dividendo a cobrar";
546;"Intereses a corto plazo de valores representativos de deudas";
547;"Intereses a corto plazo de créditos";
5470;"Intereses a corto plazo de créditos";
5476;"Intereses a corto plazo de deudas con socios";
548;"Imposiciones a corto plazo";
549;"Desembolsos pendientes sobre participaciones en el patrimonio neto a corto plazo";
55;"OTRAS CUENTAS NO BANCARIAS";
550;"Titular de la explotación";
551;"Cuenta corriente con socios y administradores";
552;"Cuenta corriente con otras personas y entidades vinculadas";
5523;"Cuenta corriente con empresas del grupo";
5524;"Cuenta corriente con empresas asociadas";
5525;"Cuenta corriente con otras partes vinculadas";
553;"Cuentas corrientes en fusiones y escisiones";
5530;"Socios de sociedad disuelta";
5531;"Socios, cuenta de fusión";
5532;"Socios de sociedad escindida";
5533;"Socios, cuenta de escisión";
554;"Cuenta corriente con uniones temporales de empresas y comunidades de bienes";
555;"Partidas pendientes de aplicación";"SUPLI"
556;"Desembolsos exigidos sobre participaciones en el patrimonio neto";
5563;"Desembolsos exigidos sobre participaciones,empresas del grupo";
